date,logreturns
12/11/14,0.011177322
12/10/14,-0.005101913
12/9/14,0.016386228
12/8/14,-0.003809635
12/5/14,0.007737023
12/4/14,8.35E-05
12/3/14,0.000231888
12/2/14,-0.001617378
12/1/14,-0.004223996
11/28/14,0.011586583
11/26/14,-0.00457268
11/25/14,-0.006915956
11/24/14,-0.000912214
11/21/14,-0.007732323
11/20/14,-0.002173451
11/19/14,-0.004590811
11/18/14,0.004614384
11/17/14,-0.006717165
11/14/14,0.002654414
11/13/14,-0.002727984
11/12/14,-0.004300223
11/11/14,-0.001965987
11/10/14,-0.002680822
11/7/14,-0.003706618
11/6/14,0.000860104
11/5/14,-0.002599387
11/4/14,0.000712438
11/3/14,0.003134946
10/31/14,-0.002658666
10/30/14,-0.013941634
10/29/14,-0.002463624
10/28/14,0.00392087
10/27/14,-0.014869095
10/24/14,-0.000986643
10/23/14,-0.007387401
10/22/14,-0.01574539
10/21/14,0.005504383
10/20/14,-0.025840981
10/17/14,-0.014211324
10/16/14,-0.013241627
10/15/14,0.005479901
10/14/14,0.006445164
10/13/14,-0.000645802
10/10/14,0.016375214
10/9/14,0.025118091
10/8/14,0.017927086
10/7/14,-0.02063398
10/6/14,0.01446571
10/3/14,0.002745048
10/2/14,-0.010343052
10/1/14,-0.000283542
9/30/14,0.016109004
9/29/14,-0.000560727
9/26/14,0.001614636
9/25/14,-0.011387525
9/24/14,0.021350752
9/23/14,-0.010493745
9/22/14,0.002381423
9/19/14,0.009523041
9/18/14,0.000728987
9/17/14,-0.007218146
9/16/14,-0.001547752
9/15/14,-0.009232932
9/12/14,0.009714712
9/11/14,0.00573889
9/10/14,0.000566709
9/9/14,-0.008113471
9/8/14,0.008235564
9/5/14,-0.001356075
9/4/14,-0.005833723
9/3/14,0.001187157
9/2/14,0.006085656
8/29/14,-0.003240257
8/28/14,-0.003998125
8/27/14,0.001697904
8/26/14,-0.000370786
8/25/14,-0.001029592
8/22/14,-0.00362798
8/21/14,-0.001412384
8/20/14,-0.001565334
8/19/14,-0.000141075
8/18/14,-0.004870597
8/15/14,-0.008239297
8/14/14,-0.004625088
8/13/14,-0.005028861
8/12/14,-0.011198907
8/11/14,0.001340894
8/8/14,-0.00573698
8/7/14,-0.007784672
8/6/14,0.004223896
8/5/14,0.000172921
8/4/14,0.008692568
8/1/14,-0.007472648
7/31/14,0.003301526
7/30/14,0.02124227
7/29/14,-0.004294849
7/28/14,0.002071593
7/25/14,-0.000524431
7/24/14,0.004536798
7/23/14,0.000752882
7/22/14,-0.006182855
7/21/14,-0.006960726
7/18/14,0.001460498
7/17/14,-0.015830669
7/16/14,0.01390999
7/15/14,-0.004557291
7/14/14,0.003827178
7/11/14,-0.006351789
7/10/14,-0.00630476
7/9/14,0.003311487
7/8/14,-0.007435918
7/7/14,0.011997911
7/3/14,0.003140273
7/2/14,-0.00606986
7/1/14,-0.001267707
6/30/14,-0.011583575
6/27/14,-0.001310126
6/26/14,-0.00457026
6/25/14,0.000109743
6/24/14,-0.007290057
6/23/14,0.001520085
6/20/14,-0.000701897
6/19/14,-0.000483991
6/18/14,0.001001918
6/17/14,-0.006140334
6/16/14,-0.000367664
6/13/14,-0.001156775
6/12/14,-0.003119631
6/11/14,0.009006032
6/10/14,0.00079224
6/9/14,-0.001347972
6/6/14,-0.000308288
6/5/14,-0.004654292
6/4/14,-0.008871762
6/3/14,-0.003618044
6/2/14,0.000774484
5/30/14,0.001033498
5/29/14,-0.000294411
5/28/14,-0.006299716
5/27/14,0.002907741
5/23/14,-0.012361651
5/22/14,-0.007224189
5/21/14,-0.004185846
5/20/14,-0.009756957
5/19/14,0.004243396
5/16/14,-0.007891395
5/15/14,-0.006160215
5/14/14,0.007845347
5/13/14,0.004963657
5/12/14,0.000442976
5/9/14,-0.01591177
5/8/14,-0.004306585
5/7/14,0.001707378
5/6/14,0.002826984
5/5/14,0.013567009
5/2/14,-0.004852131
5/1/14,0.001871346
4/30/14,-0.003439063
4/29/14,-0.002244268
4/28/14,-0.008135996
4/25/14,-0.00337378
4/24/14,0.016266227
4/23/14,-0.009510331
4/22/14,0.008889146
4/21/14,-0.008071385
4/17/14,-0.007166165
4/16/14,-0.000407492
4/15/14,-0.012887342
4/14/14,-0.003797502
4/11/14,-0.008030129
4/10/14,0.011801827
4/9/14,0.031796364
4/8/14,-0.017429458
4/7/14,-0.008651796
4/4/14,0.008976764
4/3/14,0.027367055
4/2/14,0.007779796
4/1/14,-0.002072528
3/31/14,-0.017276082
3/28/14,-0.006766936
3/27/14,-0.002343504
3/26/14,0.005530365
3/25/14,0.012988528
3/24/14,-0.003405494
3/21/14,0.009815139
3/20/14,0.011133851
3/19/14,-0.00304472
3/18/14,0.00646337
3/17/14,-0.011971705
3/14/14,-0.009503006
3/13/14,0.006489604
3/12/14,0.015103806
3/11/14,-0.00420623
3/10/14,0.004011987
3/7/14,-0.00079355
3/6/14,0.00472232
3/5/14,0.001678279
3/4/14,-0.001947065
3/3/14,-0.013957429
2/28/14,0.007530788
2/27/14,0.001000554
2/26/14,-0.006290352
2/25/14,0.000690617
2/24/14,0.001811282
2/21/14,-0.006317034
2/20/14,0.002544132
2/19/14,-0.005212462
2/18/14,0.007252902
2/14/14,-0.004235154
2/13/14,-0.001179774
2/12/14,-0.008837811
2/11/14,-0.00155606
2/10/14,-0.010997039
2/7/14,-0.005655094
